A1CF,HSD17B3,0.00509018
RBFOX1,ZFP3,0.168523
A4GNT,HSD17B3,0.00509018
AACSP1,OR11H1,0.0636462
AADACL2,COLEC11,0.0293822
ABCA12,CLTC,0.164752
ABCA13,BRPF3,0.30799
ABCA17P,FBXW7,0.10338
ABCA4,A0,0.190481
ABCB11,PRKD3,0.366316
ABCB5,A0,0.668741
ABCC11,TP53,0.0430884
ABCC12,IKZF3,0.276363
ABCC13,RAPGEF6,0.65308
ABCC2,IKZF3,0.420677
ABCC6P1,HSD17B3,0.00509018
ABCC6P2,MEA1,0.0561088
ABCC6,A0,0.0792566
ABCC8,TP53,0.927053
ABCG4,HSD17B3,0.00509018
ABCG5,CDS1,0.0522822
ABCG8,HSD17B3,0.00509018
ABHD12B,CDH1,0.0791671
ABHD1,TP53,1
AOC1,C11orf58,0.295302
ABRA,HSD17B3,0.00509018
ACADL,A0,0.876966
ASIC2,CACHD1,0.118496
ASIC3,ZCCHC12,0.109693
ASIC4,HSD17B3,0.00509018
ACER1,COLEC11,0.0179711
ACMSD,CRIPAK,0.155556
ACOT12,HSD17B3,0.00509018
ACOT6,HSD17B3,0.00509018
ACPT,HSD17B3,0.00509018
ACRBP,TBL2,0.124399
ACRC,MAMLD1,0.0423273
ACR,AMPD1,0.0394046
ACSL6,TP53,0.837229
ACSM1,TP53,1
ACSM2A,FOXE3,0.0185382
ACSM2B,CDS1,0.0522822
ACSM5,A0,0.442598
ACTA1,PPP1R3A,0.0502826
ACTL6B,CLEC18B,0.0743349
ACTL8,TP53,1
ACY3,ERBB3,0.235204
ADAD2,LOX,0.0246626
ADAM2,SCAPER,0.0928989
ADAM32,MIEN1,0.076416
ADAMTS18,A0,0.225485
ADAMTS19,RBPJL,0.0573404
ADAMTS20,HSD17B3,0.00509018
ADARB2,CRIPAK,0.0461072
ADCY10,PRICKLE2,0.509876
ADCY8,CRIPAK,0.11474
ADCYAP1R1,A0,0.666347
ADD2,PPP1R9B,0.167372
ADH4,CDX4,0.0811748
ADH6,AP3M1,0.0689323
ADH7,PKN2,0.0294004
ADM2,OTOF,0.0229526
ADORA1,MAP3K1,0.0256071
ADRA1A,A0,0.872961
ADRA1B,BRCA1,0.0412057
ADRB1,A0,0.397287
AFM,HSD17B3,0.00509018
